;Pelvis_extension;Pelvis_lateral_flexion_rotation;Pelvis_axial_rotation;LeftHip_flexion;LeftHip_adduction;LeftHip_external_rotation;LeftKnee_flexion;LeftKnee_adduction;LeftKnee_external_rotation;LeftAnkle_dorsiflexion;LeftAnkle_inversion;LeftAnkle_internal_rotation;RightHip_flexion;RightHip_adduction;RightHip_external_rotation;RightKnee_flexion;RightKnee_adduction;RightKnee_external_rotation;RightAnkle_dorsiflexion;RightAnkle_inversion;RightAnkle_internal_rotation;Thorax_extension;Thorax_lateral_flexion_rotation;Thorax_axial_rotation;LeftScapula_protraction;LeftScapula_medial_rotation;LeftScapula_posterior_tilt;LeftShoulder_flexion;LeftShoulder_abduction;LeftShoulder_external_rotation;LeftElbow_flexion;LeftElbow_abduction;LeftElbow_pronation;LeftWrist_flexion;LeftWrist_abduction;LeftWrist_pronation;Neck_flexion;Neck_left-ward_tilt;Neck_right-ward_rotation;RightScapula_protraction;RightScapula_medial_rotation;RightScapula_posterior_tilt;RightShoulder_flexion;RightShoulder_abduction;RightShoulder_external_rotation;RightElbow_flexion;RightElbow_abduction;RightElbow_pronation;RightWrist_flexion;RightWrist_abduction;RightWrist_pronation;
RightAnkle_internal_rotation;0,200639147;-0,25996932;-0,183251113;0,526407471;-0,572707589;0,094311825;-0,455852651;-0,3795043;0,287151484;0,493764976;0,213979099;-0,174855664;0,364604395;-0,358661188;-0,904741363;-0,468123963;-0,184147576;0,2204733;0,412666366;-0,121454019;1;-0,415292249;0,087038743;-0,376019373;-0,241481994;0,276162565;-0,415456686;0,163675485;0,496556472;-0,367540838;0,315964716;-0,558012979;0,300171493;-0,600463752;0,120774905;0,61053806;0,008419319;0,049721126;0,028265291;-0,151835438;0,475571341;0,122211846;0,030608902;0,376335696;-0,505127325;0,060233393;-0,504353078;-0,028656302;-0,532054879;0,466235829;0,418519173;
Thorax_extension;-0,351793832;0,069660803;0,256977991;-0,511829643;0,256336659;-0,152296305;0,431101109;0,450726542;-0,365177531;-0,248055155;-0,190827844;0,296471403;-0,64452249;0,515664896;0,348217301;0,644096315;0,410068841;-0,331671754;-0,418028528;-0,130268084;-0,415292249;1;-0,212283144;0,452856694;0,523849122;-0,40750599;0,529349557;-0,617747919;-0,351557163;0,556337805;-0,336557448;0,315320818;-0,162969601;0,331649732;0,360101949;-0,396284316;0,014563036;-0,124808527;-8,61894E-05;-0,274910609;-0,111939504;-0,696876772;-0,538233199;-0,32403212;0,553494545;-0,001422007;0,285612956;0,234763025;0,369473728;0,017737029;-0,434718916;
Thorax_lateral_flexion_rotation;0,248595091;0,677472487;-0,368095918;0,325857531;0,322729331;-0,100290998;-0,377258169;-0,371234717;0,27175625;0,348380118;-0,088950956;-0,337509403;0,473710652;-0,658936581;-0,055308849;-0,464716443;-0,37565459;0,258562779;0,337392812;0,385114763;0,087038743;-0,212283144;1;-0,132993684;-0,638766612;0,704547167;0,176857685;0,139460991;0,498710473;-0,530109363;0,113561751;-0,392955002;0,005192973;-0,341712814;-0,078870325;0,397254955;-0,016657798;0,170109773;0,021129629;-0,378891007;-0,152195405;0,030957387;0,162369953;0,439470985;-0,191915945;0,31161512;-0,48741021;0,011769069;-0,461732109;0,154673656;-0,060680079;
Thorax_axial_rotation;0,102284782;0,245766713;0,509645265;-0,41826859;0,379936837;0,184398296;0,26408887;0,217497748;-0,17554217;-0,188704859;0,024226714;-0,011710562;-0,092747608;0,008634804;0,394968827;0,133326965;-0,001922977;-0,015987574;-0,223079171;0,171585392;-0,376019373;0,452856694;-0,132993684;1;0,386896535;-0,143147653;0,391323701;-0,414119719;-0,205103974;0,314799803;-0,182484728;0,256152866;-0,026333467;0,276196896;0,166350397;-0,174415785;-0,01088765;-0,022118281;0,039013397;0,054548204;-0,240319138;-0,372971596;-0,227140042;-0,160848622;0,26227276;0,182361342;0,178824606;0,348993616;0,182585202;-0,045948402;-0,033062476;
LeftScapula_protraction;-0,165888332;-0,432934972;0,340712387;-0,561111336;-0,055786137;0,230980386;0,485220335;0,371404467;-0,273911959;-0,363426888;0,066139157;0,259811039;-0,472262056;0,596934239;0,26576897;0,457865715;0,26350649;-0,188761924;-0,323930391;-0,306870693;-0,241481994;0,523849122;-0,638766612;0,386896535;1;-0,789009017;0,173047055;-0,632268317;-0,572412655;0,854903929;-0,216862094;0,420745287;-0,028808611;0,404910234;0,371366689;-0,573594873;0,023198487;-0,137695599;-0,010562652;0,110012503;-0,14497539;-0,349432188;-0,597890013;-0,635855178;0,488115415;-0,196536157;0,517318648;0,238593248;0,560873137;0,012740744;-0,178405484;
LeftScapula_medial_rotation;0,259461339;0,561602269;-0,202089737;0,651809821;0,111579109;-0,123405923;-0,613038161;-0,447551283;0,320775132;0,513546863;0,042889223;-0,38938438;0,562532481;-0,737822428;-0,3311546;-0,555198969;-0,307478871;0,284009444;0,428769644;0,330874634;0,276162565;-0,40750599;0,704547167;-0,143147653;-0,789009017;1;-0,043071598;0,351821539;0,821091492;-0,659786941;0,293483438;-0,567403285;0,20672401;-0,581903851;-0,192276652;0,707297392;-0,030395944;0,160468137;0,029018284;-0,451303302;0,326955889;0,022176418;0,318460109;0,838827449;-0,359474477;0,418535454;-0,67021328;0,007753229;-0,760757132;0,238645061;0,09877117;
LeftScapula_posterior_tilt;-0,10430876;0,318160134;0,191903703;-0,365608672;0,403644597;-0,080925434;0,255018425;0,2364497;-0,205082511;-0,160172554;-0,30571426;0,112111641;-0,195393974;0,108972732;0,410587792;0,248143117;0,132599804;-0,209235405;-0,252667895;0,132904858;-0,415456686;0,529349557;0,176857685;0,391323701;0,173047055;-0,043071598;1;-0,568685244;-0,196157265;0,242191997;-0,112324049;0,162559526;-0,126003088;0,265726372;0,24879195;-0,176905927;-0,003522909;-0,018325945;-0,001541636;-0,232879442;-0,480407094;-0,612844663;-0,416691056;-0,296114388;0,359737038;0,013431017;0,122758926;0,061668335;0,275972883;0,021548865;-0,343993258;
LeftShoulder_flexion;-0,007376306;-0,010554297;-0,209547207;0,407227212;-0,141401099;-0,142604774;-0,222976998;-0,150846387;0,116263249;0,061978972;0,08608508;-0,076991752;0,227843799;-0,203882397;-0,193893155;-0,20477764;-0,093219401;0,063658045;0,181788426;0,08977882;0,163675485;-0,617747919;0,139460991;-0,414119719;-0,632268317;0,351821539;-0,568685244;1;0,16180577;-0,564543592;0,056472926;0,092794733;-0,065870111;0,005090553;-0,699345356;0,203954888;-0,010593135;0,041399702;-0,007493567;0,395731524;0,224606718;0,739746032;0,92919652;0,433937465;-0,38232189;-0,066794035;0,033799775;-0,350527646;-0,167682839;-0,489610472;0,169477014;
LeftShoulder_abduction;0,320728624;0,235807922;-0,163246582;0,638813048;-0,261123067;-0,092797678;-0,55276391;-0,35621268;0,267267607;0,537570534;0,215453044;-0,288723411;0,603210636;-0,633455368;-0,580821838;-0,627420088;-0,378375002;0,426251926;0,479613372;0,159203373;0,496556472;-0,351557163;0,498710473;-0,205103974;-0,572412655;0,821091492;-0,196157265;0,16180577;1;-0,580138181;0,450722825;-0,840102188;0,416555198;-0,853195161;0,121473089;0,804645116;-0,026728307;0,147686994;0,006916788;-0,52691748;0,623451385;-0,182521699;0,012145247;0,84743802;-0,549647489;0,372342968;-0,860381297;0,069361512;-0,873383169;0,623334303;0,154534659;
LeftShoulder_external_rotation;-0,208937398;-0,346297206;0,402006283;-0,522398602;0,018020005;0,16227245;0,471696881;0,409150807;-0,302760937;-0,405282401;0,068521164;0,295549372;-0,530819811;0,585405065;0,339368202;0,51474328;0,312906358;-0,233865423;-0,303814177;-0,295491027;-0,367540838;0,556337805;-0,530109363;0,314799803;0,854903929;-0,659786941;0,242191997;-0,564543592;-0,580138181;1;-0,311692912;0,563921339;-0,166635915;0,497427148;0,234460604;-0,679120656;0,021004925;-0,152969365;-0,015177598;-0,046709332;-0,143712285;-0,355528173;-0,533914281;-0,532344846;0,76215348;-0,285583961;0,649880049;0,077274198;0,599223989;-0,136673813;-0,406598787;
